Caso,Fecha,Tamano,Digitos,Algoritmo,Complejidad,Operaciones,Estimado_ms,Real_ms,Ratio
Caso 1 (n=64),2026-04-25 10:01:16,64,4,1.NaivOnArray,O(n^3.000),262144,64,13,0.20
Caso 1 (n=64),2026-04-25 10:01:16,64,4,2.NaivLoopUnrollingTwo,O(n^3.000),131072,32,16,0.50
Caso 1 (n=64),2026-04-25 10:01:16,64,4,3.NaivLoopUnrollingFour,O(n^3.000),65536,16,16,1.00
Caso 1 (n=64),2026-04-25 10:01:16,64,4,4.WinogradOriginal,O(n^3.000),131072,32,26,0.81
Caso 1 (n=64),2026-04-25 10:01:16,64,4,5.WinogradScaled,O(n^3.000),131072,32,23,0.72
Caso 1 (n=64),2026-04-25 10:01:16,64,4,6.StrassenNaiv,O(n^2.807),117475,29,209,7.21
Caso 1 (n=64),2026-04-25 10:01:16,64,4,7.StrassenWinograd,O(n^2.807),97505,24,133,5.54
Caso 1 (n=64),2026-04-25 10:01:16,64,4,8.III.3-SeqBlock,O(n^3.000),262144,64,27,0.42
Caso 1 (n=64),2026-04-25 10:01:16,64,4,9.III.4-ParBlock,O(n^3.000),262144,64,26,0.41
Caso 1 (n=64),2026-04-25 10:01:16,64,4,10.III.5-EnhParBlock,O(n^3.000),262144,64,54,0.84
Caso 1 (n=64),2026-04-25 10:01:16,64,4,11.IV.3-SeqBlock,O(n^3.000),262144,64,15,0.23
Caso 1 (n=64),2026-04-25 10:01:16,64,4,12.IV.4-ParBlock,O(n^3.000),262144,64,16,0.25
Caso 1 (n=64),2026-04-25 10:01:16,64,4,13.IV.5-EnhParBlock,O(n^3.000),262144,64,60,0.94
Caso 1 (n=64),2026-04-25 10:01:16,64,4,14.V.3-SeqBlock,O(n^3.000),262144,64,12,0.19
Caso 1 (n=64),2026-04-25 10:01:16,64,4,15.V.4-ParBlock,O(n^3.000),262144,64,61,0.95
Caso 2 (n=64),2026-04-25 10:01:40,64,4,1.NaivOnArray,O(n^3.000),262144,64,13,0.20
Caso 2 (n=64),2026-04-25 10:01:40,64,4,2.NaivLoopUnrollingTwo,O(n^3.000),131072,32,16,0.50
Caso 2 (n=64),2026-04-25 10:01:40,64,4,3.NaivLoopUnrollingFour,O(n^3.000),65536,16,18,1.12
Caso 2 (n=64),2026-04-25 10:01:40,64,4,4.WinogradOriginal,O(n^3.000),131072,32,24,0.75
Caso 2 (n=64),2026-04-25 10:01:40,64,4,5.WinogradScaled,O(n^3.000),131072,32,36,1.12
Caso 2 (n=64),2026-04-25 10:01:40,64,4,6.StrassenNaiv,O(n^2.807),117475,29,164,5.66
Caso 2 (n=64),2026-04-25 10:01:40,64,4,7.StrassenWinograd,O(n^2.807),97505,24,183,7.62
Caso 2 (n=64),2026-04-25 10:01:40,64,4,8.III.3-SeqBlock,O(n^3.000),262144,64,14,0.22
Caso 2 (n=64),2026-04-25 10:01:40,64,4,9.III.4-ParBlock,O(n^3.000),262144,64,132,2.06
Caso 2 (n=64),2026-04-25 10:01:40,64,4,10.III.5-EnhParBlock,O(n^3.000),262144,64,236,3.69
Caso 2 (n=64),2026-04-25 10:01:40,64,4,11.IV.3-SeqBlock,O(n^3.000),262144,64,98,1.53
Caso 2 (n=64),2026-04-25 10:01:40,64,4,12.IV.4-ParBlock,O(n^3.000),262144,64,43,0.67
Caso 2 (n=64),2026-04-25 10:01:40,64,4,13.IV.5-EnhParBlock,O(n^3.000),262144,64,78,1.22
Caso 2 (n=64),2026-04-25 10:01:40,64,4,14.V.3-SeqBlock,O(n^3.000),262144,64,16,0.25
Caso 2 (n=64),2026-04-25 10:01:40,64,4,15.V.4-ParBlock,O(n^3.000),262144,64,39,0.61
Caso 3 (n=2048),2026-04-26 01:14:43,2048,4,1.NaivOnArray,O(n^3.000),8589934592,2097152,19056613,9.09
Caso 3 (n=2048),2026-04-26 01:14:43,2048,4,2.NaivLoopUnrollingTwo,O(n^3.000),4294967296,1048576,21175712,20.19
Caso 3 (n=2048),2026-04-26 01:14:43,2048,4,3.NaivLoopUnrollingFour,O(n^3.000),2147483648,524288,21276480,40.58
Caso 3 (n=2048),2026-04-26 01:14:43,2048,4,4.WinogradOriginal,O(n^3.000),4294967296,1048576,22867703,21.81
